,date,link,location,movie,time
62,2019-03-26,http://thenewbev.com/program/march-26-the-tattoo-connection-exit-the-dragon-enter-the-tiger/,The New Beverly,"Exit the Dragon, Enter the Tiger",9:30 pm
63,2019-03-27,http://thenewbev.com/program/march-27-whos-afraid-of-virginia-woolf-afternoon-classics/,The New Beverly,Who’s Afraid of Virginia Woolf?,2:00 pm
64,2019-03-27,http://thenewbev.com/program/march-27-point-blank-the-outfit/,The New Beverly,Point Blank             ,7:30 pm
65,2019-03-27,http://thenewbev.com/program/march-27-point-blank-the-outfit/,The New Beverly,The Outfit,9:30 pm
66,2019-03-28,http://thenewbev.com/program/march-28-point-blank-the-outfit/,The New Beverly,Point Blank             ,7:30 pm
67,2019-03-28,http://thenewbev.com/program/march-28-point-blank-the-outfit/,The New Beverly,The Outfit,9:30 pm
68,2019-03-29,http://thenewbev.com/program/march-29-la-strada-il-bidone/,The New Beverly,La Strada             ,6:30 pm
69,2019-03-29,http://thenewbev.com/program/march-29-la-strada-il-bidone/,The New Beverly,Il Bidone,8:50 pm
70,2019-03-29,http://thenewbev.com/program/march-29-kill-bill-volume-1-midnight-show/,The New Beverly,Kill Bill: Volume 1,11:59 pm
71,2019-03-30,http://thenewbev.com/program/march-30-the-black-stallion-kiddee-matinee/,The New Beverly,The Black Stallion,2:00 pm
72,2019-03-30,http://thenewbev.com/program/march-30-la-strada-il-bidone/,The New Beverly,La Strada             ,6:30 pm
73,2019-03-30,http://thenewbev.com/program/march-30-la-strada-il-bidone/,The New Beverly,Il Bidone,8:50 pm
74,2019-03-30,http://thenewbev.com/program/march-30-amazon-women-on-the-moon-midnight-show/,The New Beverly,Amazon Women on the Moon,11:59 pm
75,2019-03-31,http://thenewbev.com/program/march-31-the-black-stallion-kiddee-matinee/,The New Beverly,The Black Stallion,2:00 pm
76,2019-03-31,http://thenewbev.com/program/march-31-dames-footlight-parade/,The New Beverly,Dames             ,6:30 pm
77,2019-03-31,http://thenewbev.com/program/march-31-dames-footlight-parade/,The New Beverly,Footlight Parade,8:30 pm
78,2019-04-01,http://thenewbev.com/program/april-1-dames-footlight-parade/,The New Beverly,Dames             ,7:30 pm
79,2019-04-01,http://thenewbev.com/program/april-1-dames-footlight-parade/,The New Beverly,Footlight Parade,9:30 pm
